,Vacancy,Salary,Salary_min,Salary_max,Employer,Location,Description,Url,Site
0,Data Scientist\ Аналитик Data Science,до 160 000 руб.,NaN,160000,КОРУС Консалтинг,КОРУС Консалтинг,Data Scientist\ Аналитик Data Science,https://spb.hh.ru/vacancy/46743518?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
1,Аналитик отдела сопровождения,,NaN,NaN,ООО ИнЭкс,Санкт-Петербург,"Участие в анализе процессов Заказчика. Участие в подготовке плана экспериментов по анализу данных, подготовке факторов, выбору подхода к построению моделей. Желательно понимание процессов различных областей Бизнеса (ритейл, телеком, банкинг). Понимание типовых задач бизнеса и потенциальных реализаций. Опыт успешного решения бизнес...",https://spb.hh.ru/vacancy/46702265?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
2,Аналитик данных,80 000 – 130 000 руб.,80000,130000,ПАО Европлан,Санкт-Петербург,Аналитик отдела сопровождения,https://spb.hh.ru/vacancy/45775286?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
3,Ведущий аналитик,,NaN,NaN,СберСпасибо,ООО ИнЭкс,"Обработка обращений заказчиков, связанных с дефектами ПО: фиксация, классификация, аналитика, постановка задач на модификацию/доработку. Информирование заказчика по итогам рассмотрения...Знакомство с технологиями разработки и тестирования ПО. Знание sql (запросы для анализа данных). Знакомство с веб-разработкой, веб-дизайном, веб...",https://spb.hh.ru/vacancy/46730866?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
4,Аналитик,,NaN,NaN,ООО ИнЭкс,"Москва, Комсомольская и еще 1 ",Аналитик данных,https://spb.hh.ru/vacancy/46441944?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
5,Ведущий специалист по аналитике,,NaN,NaN,ООО «ПИТ-ПРОДУКТ»,"Москва, Комсомольская и еще 1 ","Соратника и коллегу в команду аналитиков данных, который будет решать вопросы оптимизации дистанционных каналов продаж: участвовать в повышении эффективности и...Разбираетесь в математической статистике. Умеете писать SQL-запросы. Мы можем подойти друг другу даже при отсутствии у вас какого-то...",https://spb.hh.ru/vacancy/46565685?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
6,Аналитик Excel,90 000 – 150 000 руб.,90000,150000,АО Центральная ППК,ПАО Европлан,Ведущий аналитик,https://spb.hh.ru/vacancy/46441772?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
7,Аналитик,,NaN,NaN,Ozon Fintech,Москва,Участие в годовом и квартальном планировании объёмов бонусного фонда в рамках курируемого направления. Работа с базой данных (PostgreSQL)....работы аналитиком от 1-го года. Опыт в построении моделей и прогнозирования на будущие периоды. Знание принципов устройства баз данных...,https://spb.hh.ru/vacancy/46745248?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
8,Аналитик,от 85 000 руб.,85000,NaN,АО Топливная Процессинговая Компания,Москва,Аналитик,https://spb.hh.ru/vacancy/46782692?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
9,Аналитик (удаленно),,NaN,NaN,ООО Профессиональные кадры,СберСпасибо,"Анализ интерфейсов смежных систем, алгоритмов взаимодействия, форматов обмена и семантики данных. Согласование ТЗ со специалистами заказчика. Взаимодействие с командой разработки...Образование высшее. Желательно знание ГОСТ 34. Знание технологии проектирования и разработки ПО, знакомство со стеком технологий web-проектов, SQL. ",https://spb.hh.ru/vacancy/46494468?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
10,Старший аналитик данных,от 91 352 руб.,91352,NaN,Сбер для экспертов,Москва,Ведущий специалист по аналитике,https://spb.hh.ru/vacancy/46737789?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
11,Системный аналитик,,NaN,NaN,SpectrumData,Москва,"Создание ежемесячных отчетов и презентаций аналитики на данных NielsenIQ и внутренних данных продаж категории Ready-to-eat. Обзор всех сегментов......маркетинга (в крупных FMCG компаниях, или Retail сетях) на позиции Аналитика, Специалиста по анализу, исследованиям. Желательно знание английского языка. ",https://spb.hh.ru/vacancy/39418636?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
12,Аналитик Power BI,,NaN,NaN,Zhdanov,ООО ИнЭкс,Аналитик Excel,https://spb.hh.ru/vacancy/46429897?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
13,Аналитик по акциям,от 180 000 руб.,180000,NaN,LEON Family Office,"Москва, Комсомольская и еще 1 ",Формирование экономических моделей. Прогноз финансово-экономических эффектов. Внедрение тарифных решений. Участие в разработке и совершенствовании профильных бизнес-процессов и процедур...Умение работать с большими массивами данных. Знания методов статистики и умение применять их на практике. Умение создавать математические модели. ,https://spb.hh.ru/vacancy/46714452?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
14,BI аналитик/аналитик данных,,NaN,NaN,ООО КОМТЕК,"Москва, Комсомольская и еще 1 ",Аналитик,https://spb.hh.ru/vacancy/46683457?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
15,Бизнес-аналитик,80 000 – 100 000 руб.,80000,100000,ООО ВсеИнструменты.ру,ООО «ПИТ-ПРОДУКТ»,"Проверять гипотезы: формулировать вопросы об эффективности работы финтех-сервисов и искать ответы, подкрепленные данными. Рассчитывать эффективность инициатив: запуск A/B...У вас уже есть опыт работы аналитиком в крупной компании. Отлично знаете SQL (любой диалект), работали с базами данных. ",https://spb.hh.ru/vacancy/46043588?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
16,Аналитик по управлению запасами (без опыта работы),,NaN,NaN,ООО НЕД,"Санкт-Петербург, Елизаровская",Аналитик,https://spb.hh.ru/vacancy/45462826?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
17,Аналитик,,NaN,NaN,"Компания «СПОРТМАСТЕР», Логистика","Санкт-Петербург, Елизаровская","Аудит процессов, сбор и описание исходных данных, анализ требований в рамках реализации ИТ проекта по модернизации процессинговых систем компании. Опыт работы аналитиком/бизне-аналитиком/системным аналитиком в рамках реализации ИТ-проектов в области процессинга, систем лояльности, разработки web-сайтов...",https://spb.hh.ru/vacancy/46125755?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
18,Аналитик данных,150 000 – 210 000 руб.,150000,210000,Важная рыба,АО Центральная ППК,Аналитик (удаленно),https://spb.hh.ru/vacancy/45738861?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
19,Аналитик данных (sql),,NaN,NaN,ДомКлик,Москва,"Участие в создании методики проверки продуктовых гипотез (разработка алгоритма действий, определение критериев для анализа результатов и для принятия решения о......методов статистического анализа данных. Финансовая грамотность (знание методов ценообразования). Владение современными технологиями работы с большими массивами данных. Владение технологиями исследований. ",https://spb.hh.ru/vacancy/46473543?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
20,Бизнес-аналитик,от 180 000 руб.,180000,NaN,АО Панорама,АО Панорама,Бизнес-аналитик,https://spb.hh.ru/vacancy/46769560?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
21,Data Scientist\ Аналитик Data Science,,NaN,NaN,КОРУС Консалтинг,"Москва, Сухаревская","Консультация ключевых пользователей заказчиков, специалистов центра поддержки заказчиков. Фиксация дефектов в базе данных, контроль статуса их устранения. Создание и сопровождение...Умение структурировать полученную информацию и четко излагать свои мысли. Владение ПК на уровне квалифицированного пользователя, владение стандартными средствами MS Office...",https://spb.hh.ru/vacancy/46743517?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
22,Системный аналитик,до 160 000 руб.,NaN,160000,ООО РАБЛЗ,"Москва, Сухаревская",Data Scientist\ Аналитик Data Science,https://spb.hh.ru/vacancy/43534334?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
23,Младший аналитик,,NaN,NaN,МАКОН Консалтинг,КОРУС Консалтинг,"Участие в анализе процессов Заказчика. Участие в подготовке плана экспериментов по анализу данных, подготовке факторов, выбору подхода к построению моделей. Желательно понимание процессов различных областей Бизнеса (ритейл, телеком, банкинг). Понимание типовых задач бизнеса и потенциальных реализаций. Опыт успешного решения бизнес...",https://spb.hh.ru/vacancy/45601121?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
24,Аналитик данных,160 000 – 250 000 руб.,160000,250000,SOKOLOV,Москва,Системный аналитик,https://spb.hh.ru/vacancy/46690122?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
25,Аналитик,,NaN,NaN,ООО Интехпромо,Москва,Участие в развитии BigData-продукта в роли аналитика: взаимодействие с архитекторами и разработчиками. Анализ бизнес-требований с точки зрения оценки...Знакомство с принципами работы реляционных и колоночных баз данных. Знакомство с принципами работы брокеров сообщений. Уверенное знание SQL. ,https://spb.hh.ru/vacancy/46587751?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
26,Аналитик,25 000 – 30 000 руб.,25000,30000,Леруа Мерлен. Центральный офис,ООО РАБЛЗ,Младший аналитик,https://spb.hh.ru/vacancy/46796854?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
27,Аналитик Power BI,,NaN,NaN,ТОО Компания ЭВРИКА,Москва,"Работать с базами данных в формате MS Excel, (первичное внесение и актуализация показателей). Собирать и обрабатывать сведения из сети. Высшее/неоконченное высшее образование (желательно в сфере маркетинга/экономики/социологии). Владение ПК и основными программами на базовом уровне (MS Office...",https://spb.hh.ru/vacancy/46781423?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
28,Экономист-аналитик (удаленно),,NaN,NaN,HRP consulting,Москва,Аналитик данных,https://spb.hh.ru/vacancy/46696355?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
29,Ведущий бизнес-аналитик,от 20 000 руб.,20000,NaN,"ЭФКО, Управляющая компания",МАКОН Консалтинг,Готовить отчеты и визуализировать данные из десятков баз-первоисточников. Ставить задачи дата-инженерам на перенос и подготовку данных.Знаний в области проектирования реляционных баз данных. Умения визуализировать данные в таблицах и диаграммах. Знание Python для работы с данными. ,https://spb.hh.ru/vacancy/42467872?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
30,Аналитик данных (проект виртуальный ассистент розничного бизнеса Банка),,NaN,NaN,Лига Цифровой Экономики,Краснодар,Аналитик,https://spb.hh.ru/vacancy/46692017?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
31,Аналитик,от 200 000 руб.,200000,NaN,ООО БОЛЬШАЯ ТРОЙКА,Краснодар,"Сбор и анализ данных по квартирам застройщика. Анализ конкурентов застройщика. Работа в Excel, Google Data studio и в нашей разработке...Высшее / ( не оконченное) образование по техническому направлению желательно. Грамотная письменная и устная речь. Желание обучаться и развиваться, расти по карьерной...",https://spb.hh.ru/vacancy/46020489?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
32,Системный аналитик,,NaN,NaN,Сайтсофт,SOKOLOV,Аналитик,https://spb.hh.ru/vacancy/46377699?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
33,Бизнес-аналитик / Business Analyst,,NaN,NaN,АО Группа компаний Вестлинк,Москва,"Основная задача: создавать и развивать функциональные возможности продукта в соответствии с реальными потребностями пользователей, обеспечивая высокое качество итогового решения. Опыт расследования инцидентов. Знакомство с MQ, Kafka, Docker, базами данных. SQL - на уровне простых запросов. Опыт работы в соответствии с...",https://spb.hh.ru/vacancy/46511681?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
34,Аналитик,50 000 – 50 000 руб.,50000,50000,Warner Music Russia,Москва,Аналитик Power BI,https://spb.hh.ru/vacancy/46530515?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
35,Старший аналитик/ Старший аналитик товарного планирования,,NaN,NaN,АО Модный Континент,ООО Интехпромо,"Работать с базами данных, давать видение по структуре и архитектуре баз данных. Формировать витрины данных, разрабатывать отчетность и систему мониторинга...Знания языка DAX и M. Опыт работы с SQL запросами и базами данных. Опыт построения отчетов в Power BI. ",https://spb.hh.ru/vacancy/46752817?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
36,Аналитик данных (Search),от 100 000 руб.,100000,NaN,Авито,"Казань, Площадь Тукая",Экономист-аналитик (удаленно),https://spb.hh.ru/vacancy/46797943?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
37,Аналитик,,NaN,NaN,ООО Магнум Консалтинг Групп,"Казань, Площадь Тукая",Сбор и актуализация данных для финансовых моделей и отчетности (разработанные управленческие отчеты в Excel таблицах). Разработка и изменение параметров финансовых...Опыт работы с большими объемами данных (OLAP-кубы). Опыт работы с 1С и построения отчетности на основе данных 1...,https://spb.hh.ru/vacancy/46538414?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
38,Системный аналитик,,NaN,NaN,Метр Квадратный,Леруа Мерлен. Центральный офис,Ведущий бизнес-аналитик,https://spb.hh.ru/vacancy/45871556?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
39,BI-аналитик (Tableau),,NaN,NaN,СберМегаМаркет,Москва,Поиск и формирование наборов данных для построения аналитики. Написание заданий на добавление новых наборов данных в хранилище данных. Знание языка DAX. Опыт формирования технических заданий на разработку хранилищ данных. Опыт работы не менее 1 года. Высшее образование. ,https://spb.hh.ru/vacancy/46734191?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
40,Ведущий бизнес аналитик/Финансовый аналитик,от 150 000 руб.,150000,NaN,ООО Галактика,ООО Галактика,Ведущий бизнес аналитик/Финансовый аналитик,https://spb.hh.ru/vacancy/45086805?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
41,Продуктовый аналитик,,NaN,NaN,USABILITYLAB,Санкт-Петербург,"Исследование рынков сбыта продукции, анализ конкуренции, поиск макроэкономических данных, отраслевых коэффициентов и удельных показателей в целях обоснования исходных данных и...Опыт работы в сфере корпоративных финансов и инвестиционного анализа от 3-х лет. Навыки финансового моделирования. Уверенные знания экономической теории...",https://spb.hh.ru/vacancy/46051229?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
42,Аналитик данных,от 150 000 руб.,150000,NaN,ООО ВИС,Санкт-Петербург,Продуктовый аналитик,https://spb.hh.ru/vacancy/41684526?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
43,Аналитик (со знанием Power BI),,NaN,NaN,Prime Sport,USABILITYLAB,"...части веб-аналитики и имплементации системы аналитики в приложение. Сотрудничество с разработчиками для обеспечения максимально возможного качества собираемых данных. Опыт работы аналитиком больше года. Владение Amplitude и Google Tag Manager. Опыт подготовки отчётов в системах бизнес-аналитики (PowerBI, Tableau...",https://spb.hh.ru/vacancy/46485003?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
44,Аналитик данных (Python),,NaN,NaN,ЮЗ Диамант,"Москва, Алексеевская",Аналитик данных,https://spb.hh.ru/vacancy/46559133?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
45,Аналитик данных / Data scientist,от 100 000 руб.,100000,NaN,ООО Лендсбэй,"Москва, Алексеевская","Организация управления данными Коммерческого Департамента, анализ качества данных. Ведение баз данных по первичным, вторичным и третичным продажам. Оперативная аналитика в...Уверенное знание ПК, Word, Excel, PowerPoint. Владение инструментами web-аналитики: Google Analytics, Яндекс.Метрика, SpyWords и др. инструментами анализа трафика и...",https://spb.hh.ru/vacancy/46639991?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
46,Начинающий системный аналитик,,NaN,NaN,ИИС-Консалтинг,ООО ВИС,Аналитик (со знанием Power BI),https://spb.hh.ru/vacancy/46616791?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
47,Системный аналитик (Управление данными),,NaN,NaN,ГКУ Инфогород,Санкт-Петербург,"Разрабатывать отчетность и ее визуализацию при помощи BI инструментов (PowerBI) и базы данных (SQL). Проводить анализ, прогнозирование рынка и клиентской......курсах повышения квалификации по направлению Аналитик/Бизнес Аналитик – предпочтительно. Опыт работы Аналитиком, Бизнес-аналитиком (BI Аналитиком) от 3 лет. ",https://spb.hh.ru/vacancy/46778242?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
48,Data Scientist,,NaN,NaN,COMTEK Inc.,Санкт-Петербург,Аналитик данных (Python),https://spb.hh.ru/vacancy/46012355?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
